,index,0
0,roche,139
1,sur,12412
2,yon,90
3,est,33321
4,une,25018
5,commune,1485
6,centre,1105
7,ouest,1176
8,france,2732
9,dans,21221
10,des,39898
11,pays,2372
12,loire,266
13,par,20750
14,ses,5667
15,affluents,39
16,ornay,3
17,son,11470
18,tributaire,6
19,soivre,1
20,doit,959
21,physionomie,6
22,actuelle,286
23,qui,16136
24,fait,4038
25,petit,701
26,bourg,94
27,moderne,242
28,plan,501
29,forme,1188
30,pentagone,6
31,publics,170
32,imposants,5
33,ville,3231
34,tribunaux,36
35,saint,2357
36,louis,772
37,etc,458
38,autour,562
39,vaste,158
40,esplanade,16
41,centrale,228
42,place,2040
43,elle,4941
44,promue,8
45,cette,5629
46,date,467
47,remplacement,78
48,fontenay,6
49,comte,318
50,mais,5633
51,ponts,62
52,nom,2110
53,source,320
54,querelles,20
55,changements,100
56,politiques,358
57,agitent,6
58,huit,362
59,reprises,231
60,sous,3409
61,premier,2415
62,empire,695
63,les,46373
64,cent,184
65,jours,712
66,bourbon,70
67,restauration,191
68,second,520
69,reprend,257
70,origine,915
71,principal,387
72,urbain,110
73,ancien,918
74,bas,605
75,poitou,53
76,aux,5880
77,fonctions,312
78,multiples,107
79,secteurs,92
80,secondaires,96
81,tertiaires,16
82,essentiellement,289
83,aussi,3009
84,universitaire,105
85,fort,413
86,plus,11068
87,comptant,43
88,aire,103
89,urbaine,150
90,atteignant,39
91,population,1192
92,occupe,195
93,niveau,737
94,tandis,624
95,que,13955
96,territoire,709
97,municipal,130
98,altitude,221
99,moyenne,427
100,avec,10067
101,niveaux,142
102,fluctuant,4
103,entre,4147
104,situe,219
105,bocage,12
106,affluent,45
107,lay,8
108,construite,175
109,granitique,6
110,surplombe,10
111,donne,517
112,position,659
113,bonaparte,63
114,ailleurs,701
115,choisi,145
116,comme,6383
117,pour,16750
118,devait,208
119,guerre,1721
120,tableau,152
121,suivant,467
122,compare,24
123,climat,213
124,nationale,711
125,quelques,1238
126,villes,548
127,symboliques,14
128,dessous,154
129,indique,156
130,moyennes,49
131,ensoleillement,22
132,depuis,2610
133,records,94
134,station,305
135,ajoncs,4
136,maximale,69
137,minimale,27
138,sont,9447
139,respectivement,172
140,vents,50
141,ont,3828
142,seule,544
143,faible,293
144,domaine,444
145,sud,1702
146,armoricain,13
147,phase,151
148,bretonne,95
149,varisque,2
150,tournaisien,1
151,environ,841
152,collision,21
153,continentale,58
154,cours,1187
155,proprement,79
156,dite,208
157,traduit,131
158,massif,213
159,basse,216
160,pression,173
161,formant,98
162,gneiss,4
163,micaschistes,2
164,phases,67
165,cisaillement,6
166,anatexie,1
167,migmatites,1
168,granites,6
169,enfin,631
170,mise,528
171,nombreux,1118
172,leucogranites,2
173,deux,5340
174,micas,3
175,muscovite,2
176,biotite,2
177,intrusifs,1
178,travers,417
179,schistes,8
180,cristallins,2
181,concomitamment,2
182,cisaillements,1
183,ainsi,3606
184,partie,2221
185,grande,1637
186,ceinture,62
187,correspond,203
188,immense,74
189,batholite,2
190,mis,424
191,roches,40
192,seuls,199
