,index,0
0,roche,129
1,sur,144
2,yon,86
3,commune,1485
4,centre,1096
5,ouest,1114
6,france,2675
7,pays,2371
8,loire,220
9,affluents,39
10,ornay,1
11,tributaire,6
12,soivre,1
13,doit,959
14,physionomie,6
15,actuelle,286
16,fait,4038
17,petit,692
18,bourg,83
19,moderne,242
20,plan,500
21,forme,1187
22,pentagone,6
23,publics,170
24,imposants,5
25,ville,3217
26,tribunaux,36
27,saint,1733
28,louis,746
29,etc,458
30,autour,562
31,une,4562
32,vaste,158
33,esplanade,16
34,centrale,228
35,place,2037
36,promue,8
37,cette,5629
38,date,467
39,remplacement,77
40,nom,2109
41,source,320
42,querelles,20
43,changements,100
44,politiques,358
45,agitent,6
46,huit,357
47,reprises,231
48,sous,3322
49,premier,2410
50,empire,695
51,cent,179
52,jours,711
53,bourbon,68
54,restauration,190
55,second,520
56,reprend,257
57,origine,915
58,principal,387
59,urbain,109
60,ancien,918
61,bas,603
62,poitou,26
63,fonctions,312
64,multiples,107
65,secteurs,92
66,secondaires,96
67,tertiaires,16
68,aussi,3008
69,universitaire,101
70,fort,411
71,plus,11068
72,comptant,43
73,aire,101
74,urbaine,150
75,atteignant,39
76,population,1192
77,occupe,195
78,niveau,737
79,tandis,624
80,territoire,708
81,municipal,130
82,altitude,221
83,moyenne,427
84,niveaux,142
85,fluctuant,4
86,entre,4119
87,situe,219
88,bocage,11
89,affluent,45
90,lay,7
91,construite,175
92,granitique,6
93,surplombe,10
94,donne,517
95,position,659
96,bonaparte,62
97,ailleurs,701
98,choisi,145
99,comme,6383
100,devait,208
101,guerre,1719
102,tableau,152
103,suivant,467
104,compare,24
105,climat,213
106,nationale,707
107,quelques,1238
108,villes,547
109,symboliques,14
110,dessous,154
111,indique,156
112,moyennes,49
113,depuis,2610
114,records,94
115,station,302
116,ajoncs,4
117,maximale,69
118,minimale,27
119,respectivement,172
120,vents,50
121,seule,544
122,faible,293
123,ensoleillement,11
124,domaine,444
125,sud,1687
126,armoricain,13
127,phase,151
128,bretonne,95
129,varisque,2
130,tournaisien,1
131,environ,841
132,collision,21
133,continentale,55
134,cours,1187
135,proprement,78
136,dite,207
137,traduit,131
138,massif,213
139,basse,203
140,pression,173
141,formant,98
142,gneiss,4
143,micaschistes,2
144,phases,67
145,cisaillement,6
146,anatexie,1
147,migmatites,1
148,granites,6
149,enfin,631
150,mise,528
151,nombreux,1118
152,leucogranites,2
153,deux,5307
154,micas,3
155,muscovite,2
156,biotite,2
157,intrusifs,1
158,travers,417
159,schistes,8
160,cristallins,2
161,concomitamment,2
162,cisaillements,1
163,ainsi,3606
164,partie,2219
165,grande,1472
166,ceinture,62
167,correspond,203
168,immense,74
169,batholite,2
170,mis,424
171,roches,37
172,seuls,199
173,plutons,1
174,plusieurs,2179
175,bandes,118
176,rubans,15
177,montrent,87
178,nette,33
179,divergence,13
180,vers,1705
181,est,5389
182,axe,137
